recipe_id,title,ingredients,category,ratings,reviews,calories,total_mins,image_url,instructions
14,Delicious Recipe 14,"[""Lettuce"", ""White fish"", ""Cream"", ""Butter"", ""Cabbage slaw"", ""Beef strips""]","[""Low-Carb"", ""Vegan""]",3.1,898,306,23,https://via.placeholder.com/150?text=Recipe+14,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
15,Delicious Recipe 15,"[""White fish"", ""Ginger"", ""Butter"", ""Mushroom"", ""Paprika"", ""Chocolate chips"", ""Egg"", ""Cream"", ""Carrots""]","[""Non-Vegetarian""]",3.6,309,817,55,https://via.placeholder.com/150?text=Recipe+15,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
16,Delicious Recipe 16,"[""Pasta"", ""Lettuce"", ""Dill"", ""Salt"", ""Flour"", ""Cherry Tomatoes"", ""Pork""]","[""Vegetarian""]",4.6,145,693,40,https://via.placeholder.com/150?text=Recipe+16,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
17,Delicious Recipe 17,"[""Ginger"", ""Asparagus"", ""Chocolate chips"", ""Chicken breast"", ""Egg"", ""Chocolate chips"", ""Lettuce"", ""Avocado"", ""Olive oil""]","[""Non-Vegetarian""]",4.2,422,860,39,https://via.placeholder.com/150?text=Recipe+17,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
18,Delicious Recipe 18,"[""Parmesan"", ""Pork"", ""Tortillas"", ""Carrots"", ""Tomato""]","[""Gluten-Free"", ""Vegan""]",3.4,966,404,65,https://via.placeholder.com/150?text=Recipe+18,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
19,Delicious Recipe 19,"[""Sugar"", ""Salmon fillet"", ""Pepper"", ""Chocolate chips"", ""Paprika"", ""Pork"", ""Butter"", ""Sugar""]","[""Vegan""]",4.2,372,872,50,https://via.placeholder.com/150?text=Recipe+19,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
20,Delicious Recipe 20,"[""Egg"", ""Asparagus"", ""Lamb"", ""Lettuce"", ""Oregano"", ""Cheese"", ""Beef strips"", ""Cream""]","[""Gluten-Free""]",4.9,675,373,73,https://via.placeholder.com/150?text=Recipe+20,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
21,Delicious Recipe 21,"[""Beef"", ""Chocolate chips"", ""Bell Pepper"", ""Cheese"", ""Cabbage slaw"", ""Cherry Tomatoes"", ""Beef strips"", ""Basil"", ""Herbs""]","[""Vegetarian"", ""Vegan""]",4.1,911,710,46,https://via.placeholder.com/150?text=Recipe+21,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
22,Delicious Recipe 22,"[""Parmesan"", ""Olive oil"", ""Cheese"", ""Lettuce"", ""Cherry tomatoes""]","[""Gluten-Free"", ""Vegan""]",4.8,208,235,85,https://via.placeholder.com/150?text=Recipe+22,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
23,Delicious Recipe 23,"[""Cabbage"", ""Chocolate chips"", ""Yogurt"", ""Flour"", ""Pasta"", ""Cabbage slaw"", ""Beef"", ""Salmon fillet""]","[""Gluten-Free""]",4.0,128,591,12,https://via.placeholder.com/150?text=Recipe+23,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
24,Delicious Recipe 24,"[""Salt"", ""Carrots"", ""Turkey"", ""Vanilla extract"", ""Chocolate chips""]","[""Vegetarian""]",3.4,72,440,62,https://via.placeholder.com/150?text=Recipe+24,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
25,Delicious Recipe 25,"[""Cream"", ""Herbs"", ""Broccoli"", ""Avocado"", ""Salmon fillet"", ""Lime""]","[""Vegan""]",3.3,31,762,54,https://via.placeholder.com/150?text=Recipe+25,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
26,Delicious Recipe 26,"[""Garlic"", ""Chicken breast"", ""Ginger"", ""Cherry tomatoes"", ""Pork"", ""Beef strips"", ""Soy sauce"", ""Butter"", ""Onion""]","[""Vegan""]",4.1,330,814,82,https://via.placeholder.com/150?text=Recipe+26,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
27,Delicious Recipe 27,"[""Rice"", ""Tortillas"", ""Spinach"", ""Lemon"", ""Lime""]","[""Vegan"", ""Vegetarian""]",4.5,377,480,75,https://via.placeholder.com/150?text=Recipe+27,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
28,Delicious Recipe 28,"[""Potato"", ""Bread"", ""Carrot"", ""Broccoli"", ""Cheese"", ""Vanilla extract"", ""Lime""]","[""Vegan""]",3.8,542,219,28,https://via.placeholder.com/150?text=Recipe+28,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
29,Delicious Recipe 29,"[""Flour"", ""Dill"", ""Beef"", ""Soy sauce"", ""Salmon fillet"", ""Asparagus""]","[""Keto""]",4.6,792,240,73,https://via.placeholder.com/150?text=Recipe+29,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
30,Delicious Recipe 30,"[""Basil"", ""Onion"", ""Vanilla extract"", ""Pepper"", ""Sugar"", ""Butter"", ""Cheese""]","[""Keto"", ""Low-Carb""]",3.9,112,531,24,https://via.placeholder.com/150?text=Recipe+30,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
31,Delicious Recipe 31,"[""Lettuce"", ""Salmon fillet"", ""Butter"", ""Tomatoes"", ""Bread"", ""Chocolate chips"", ""Pepper"", ""Carrot""]","[""Gluten-Free"", ""Low-Carb""]",4.6,46,515,46,https://via.placeholder.com/150?text=Recipe+31,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
32,Delicious Recipe 32,"[""Carrot"", ""Avocado"", ""Chocolate chips"", ""Salmon fillet"", ""Asparagus"", ""Olive oil"", ""Garlic""]","[""Gluten-Free"", ""Vegetarian""]",3.4,226,662,88,https://via.placeholder.com/150?text=Recipe+32,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
33,Delicious Recipe 33,"[""Garlic"", ""Cucumber"", ""Bell peppers"", ""Cucumber"", ""Bell Pepper""]","[""Low-Carb""]",3.4,927,525,87,https://via.placeholder.com/150?text=Recipe+33,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
34,Delicious Recipe 34,"[""Cumin"", ""Zucchini"", ""Lettuce"", ""Soy sauce"", ""Beef"", ""Sugar"", ""Chicken"", ""Fish"", ""Bell Pepper""]","[""Keto"", ""Vegetarian""]",4.7,706,762,65,https://via.placeholder.com/150?text=Recipe+34,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
35,Delicious Recipe 35,"[""Beef"", ""Ginger"", ""Tortillas"", ""Lettuce"", ""Fish"", ""Cabbage slaw"", ""Turkey"", ""White fish"", ""Rice""]","[""Vegetarian"", ""Non-Vegetarian""]",4.7,69,266,67,https://via.placeholder.com/150?text=Recipe+35,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
36,Delicious Recipe 36,"[""Rice"", ""Cucumber"", ""Lamb"", ""Yogurt"", ""Onion""]","[""Vegetarian""]",3.6,766,467,20,https://via.placeholder.com/150?text=Recipe+36,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
37,Delicious Recipe 37,"[""Lemon"", ""Butter"", ""Cucumber"", ""Garlic"", ""Pork"", ""Butter"", ""Pepper"", ""Egg"", ""Oregano"", ""Spinach""]","[""Low-Carb""]",4.1,550,754,72,https://via.placeholder.com/150?text=Recipe+37,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
38,Delicious Recipe 38,"[""Cucumber"", ""Tomatoes"", ""Cheese"", ""Vanilla extract"", ""Lettuce"", ""Chicken breast"", ""Cabbage"", ""Zucchini"", ""Carrot""]","[""Vegan""]",4.3,262,849,43,https://via.placeholder.com/150?text=Recipe+38,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
39,Delicious Recipe 39,"[""Lettuce"", ""Broccoli"", ""Soy sauce"", ""Chicken breast"", ""Cheese"", ""Tortillas"", ""Ginger""]","[""Keto""]",3.1,781,491,31,https://via.placeholder.com/150?text=Recipe+39,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
40,Delicious Recipe 40,"[""Cream"", ""Ginger"", ""Carrots"", ""Onion"", ""Bell Pepper"", ""Lamb"", ""Olive oil"", ""Cucumber""]","[""Keto""]",3.9,642,729,28,https://via.placeholder.com/150?text=Recipe+40,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
41,Delicious Recipe 41,"[""Carrots"", ""Mushrooms"", ""Onion"", ""Zucchini"", ""Beef strips"", ""Sugar"", ""Lemon""]","[""Keto"", ""Vegetarian""]",4.7,962,883,36,https://via.placeholder.com/150?text=Recipe+41,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
42,Delicious Recipe 42,"[""Broccoli"", ""Cucumber"", ""Pork"", ""Pasta"", ""Onion"", ""Dill"", ""Salmon fillet"", ""Vanilla extract"", ""Paprika""]","[""Vegan"", ""Gluten-Free""]",4.4,54,387,26,https://via.placeholder.com/150?text=Recipe+42,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
43,Delicious Recipe 43,"[""Avocado"", ""Asparagus"", ""Ginger"", ""Lemon"", ""Chicken"", ""Carrot"", ""Tomatoes""]","[""Vegetarian"", ""Vegan""]",3.2,98,235,74,https://via.placeholder.com/150?text=Recipe+43,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
44,Delicious Recipe 44,"[""Salt"", ""Spinach"", ""Vanilla extract"", ""Carrot"", ""Ginger"", ""Cucumber"", ""Sugar"", ""Garlic"", ""Chicken"", ""Basil""]","[""Non-Vegetarian"", ""Vegan""]",4.7,105,823,16,https://via.placeholder.com/150?text=Recipe+44,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
45,Delicious Recipe 45,"[""Asparagus"", ""White fish"", ""Cabbage"", ""Basil"", ""Chicken breast"", ""Carrot"", ""Chocolate chips"", ""Cucumber""]","[""Vegan"", ""Non-Vegetarian""]",4.1,401,717,30,https://via.placeholder.com/150?text=Recipe+45,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
46,Delicious Recipe 46,"[""Beef strips"", ""Sugar"", ""Pepper"", ""Garlic"", ""Turkey"", ""Asparagus"", ""Parmesan"", ""Cherry tomatoes"", ""Tortillas"", ""Spinach""]","[""Non-Vegetarian"", ""Keto""]",4.5,846,742,14,https://via.placeholder.com/150?text=Recipe+46,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
47,Delicious Recipe 47,"[""Asparagus"", ""Lemon"", ""Cherry Tomatoes"", ""Dill"", ""Chicken"", ""Mushroom"", ""Lettuce"", ""Sugar"", ""Potato"", ""Olive oil""]","[""Vegan""]",4.2,542,415,35,https://via.placeholder.com/150?text=Recipe+47,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
48,Delicious Recipe 48,"[""Milk"", ""Mushroom"", ""Avocado"", ""Dill"", ""Zucchini"", ""Butter"", ""Cream""]","[""Vegetarian""]",3.9,830,311,53,https://via.placeholder.com/150?text=Recipe+48,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
49,Delicious Recipe 49,"[""Milk"", ""Fish"", ""Parmesan"", ""Flour"", ""Avocado"", ""Dill""]","[""Low-Carb""]",3.5,451,424,50,https://via.placeholder.com/150?text=Recipe+49,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
50,Delicious Recipe 50,"[""Dill"", ""Broccoli"", ""Cumin"", ""Cheese"", ""Flour""]","[""Low-Carb"", ""Non-Vegetarian""]",3.9,665,373,23,https://via.placeholder.com/150?text=Recipe+50,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
51,Delicious Recipe 51,"[""Beef"", ""Carrot"", ""Chocolate chips"", ""Potato"", ""Turkey"", ""Garlic"", ""Herbs""]","[""Keto"", ""Vegetarian""]",3.3,604,613,11,https://via.placeholder.com/150?text=Recipe+51,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
52,Delicious Recipe 52,"[""Carrots"", ""Onion"", ""Chocolate chips"", ""Chicken breast"", ""Parmesan"", ""Milk"", ""Flour"", ""Lime"", ""Ginger"", ""Pork""]","[""Vegan""]",4.7,314,386,53,https://via.placeholder.com/150?text=Recipe+52,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
53,Delicious Recipe 53,"[""Avocado"", ""Sugar"", ""Broccoli"", ""Egg"", ""Pork"", ""Chocolate chips"", ""Butter""]","[""Keto""]",4.7,378,888,26,https://via.placeholder.com/150?text=Recipe+53,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
54,Delicious Recipe 54,"[""Lamb"", ""Flour"", ""Cucumber"", ""Soy sauce"", ""Parmesan"", ""Paprika"", ""Butter"", ""Beef""]","[""Vegan"", ""Vegetarian""]",4.1,395,883,87,https://via.placeholder.com/150?text=Recipe+54,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
55,Delicious Recipe 55,"[""Spinach"", ""Beef strips"", ""Chocolate chips"", ""Chicken breast"", ""Cream"", ""Dill"", ""Garlic"", ""Lime"", ""Oregano"", ""Mushrooms""]","[""Vegetarian""]",3.3,747,317,88,https://via.placeholder.com/150?text=Recipe+55,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
56,Delicious Recipe 56,"[""Cucumber"", ""Bell peppers"", ""Lettuce"", ""Dill"", ""Cabbage slaw"", ""Potato"", ""Avocado"", ""Soy sauce""]","[""Gluten-Free""]",3.1,737,714,76,https://via.placeholder.com/150?text=Recipe+56,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
57,Delicious Recipe 57,"[""Pork"", ""Zucchini"", ""Lettuce"", ""Asparagus"", ""Oregano"", ""Flour""]","[""Vegetarian"", ""Gluten-Free""]",4.9,767,896,63,https://via.placeholder.com/150?text=Recipe+57,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
58,Delicious Recipe 58,"[""Pepper"", ""Mushrooms"", ""Flour"", ""Salmon fillet"", ""Cucumber"", ""Chocolate chips"", ""Cherry tomatoes""]","[""Gluten-Free""]",3.8,103,592,52,https://via.placeholder.com/150?text=Recipe+58,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
59,Delicious Recipe 59,"[""Lettuce"", ""Pepper"", ""Basil"", ""Cabbage"", ""Herbs"", ""Lamb""]","[""Non-Vegetarian""]",4.6,359,203,37,https://via.placeholder.com/150?text=Recipe+59,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
60,Delicious Recipe 60,"[""Beef"", ""Ginger"", ""Garlic"", ""Dill"", ""Herbs"", ""Cherry Tomatoes"", ""Cabbage"", ""Asparagus"", ""Bell peppers""]","[""Vegetarian"", ""Non-Vegetarian""]",4.2,897,207,74,https://via.placeholder.com/150?text=Recipe+60,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
61,Delicious Recipe 61,"[""Mushrooms"", ""Broccoli"", ""Paprika"", ""Chocolate chips"", ""Butter"", ""Vanilla extract"", ""Cream"", ""Dill"", ""Sugar""]","[""Keto""]",4.9,49,620,77,https://via.placeholder.com/150?text=Recipe+61,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
62,Delicious Recipe 62,"[""Bread"", ""Dill"", ""Soy sauce"", ""Bell peppers"", ""Ginger"", ""Parmesan"", ""Milk"", ""Broccoli""]","[""Low-Carb""]",3.7,579,276,58,https://via.placeholder.com/150?text=Recipe+62,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
63,Delicious Recipe 63,"[""Zucchini"", ""Salmon fillet"", ""Zucchini"", ""Tomato"", ""Cabbage slaw"", ""Pork"", ""Carrots"", ""Olive oil"", ""Cream"", ""Salt""]","[""Vegan"", ""Vegetarian""]",5.0,41,627,13,https://via.placeholder.com/150?text=Recipe+63,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
64,Delicious Recipe 64,"[""Parmesan"", ""Rice"", ""Cream"", ""Vanilla extract"", ""Olive oil""]","[""Vegetarian"", ""Low-Carb""]",4.7,136,548,89,https://via.placeholder.com/150?text=Recipe+64,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
65,Delicious Recipe 65,"[""Cabbage slaw"", ""Onion"", ""Garlic"", ""Garlic"", ""Olive oil""]","[""Vegetarian"", ""Non-Vegetarian""]",3.6,220,816,14,https://via.placeholder.com/150?text=Recipe+65,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
66,Delicious Recipe 66,"[""Cream"", ""Chicken breast"", ""Bell peppers"", ""Butter"", ""Beef""]","[""Non-Vegetarian""]",4.0,77,536,21,https://via.placeholder.com/150?text=Recipe+66,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
67,Delicious Recipe 67,"[""Lemon"", ""Dill"", ""Dill"", ""Oregano"", ""Flour"", ""Flour"", ""Lamb"", ""Pasta"", ""Cheese"", ""Ginger""]","[""Keto"", ""Low-Carb""]",3.8,62,597,12,https://via.placeholder.com/150?text=Recipe+67,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
68,Delicious Recipe 68,"[""Herbs"", ""Chicken"", ""Butter"", ""Onion"", ""Egg"", ""Cabbage"", ""Cucumber"", ""Asparagus"", ""Olive oil""]","[""Vegan"", ""Keto""]",3.4,290,286,89,https://via.placeholder.com/150?text=Recipe+68,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
69,Delicious Recipe 69,"[""Lemon"", ""Olive oil"", ""Spinach"", ""Butter"", ""Pasta"", ""Butter"", ""Basil""]","[""Vegetarian"", ""Vegan""]",3.9,647,377,52,https://via.placeholder.com/150?text=Recipe+69,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
